courses,waec,utme
accountancy,eng math econs any1 any1,eng math econs any_soc_sc
architecture,nan,nan
biochemistry,eng math phy chem bio,eng phy/math chem bio
business administration,eng math econs any1 any1,eng math econs any_soc_sc
estate management,nan,nan
civil engineering,nan,nan
chemical engineering,nan,nan
computer engineering,nan,nan
computer science,eng math phy any_sc any_sc,eng math phy bio/chem/agric/econs/geo
electrical engineering,nan,nan
law,eng lit_in_eng math any1 any1,eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc
marketing,nan,nan
medicine and surgery,eng math phy chem bio,eng phy chem bio
mass communication,eng any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc any_art/any_soc_sc,eng lit_in_eng any_art/any_soc_sc any_art/any_soc_sc
nursing,eng math phy chem bio,eng phy chem bio
pharmacy,nan,nan
theatre arts,nan,nan
